CDF,DateSolde,Solde
19002,2020-04-03,-386648.36
19003,2020-04-03,-289541.21
19501,2020-04-03,-547960.01
20101,2020-04-03,-753869.43
20102,2020-04-03,-125735.87
21001,2020-04-03,-1557670.14
21002,2020-04-03,-335442.84
21801,2020-04-03,-743118.63
24001,2020-04-03,-559260.0
24002,2020-04-03,-110693.61
26001,2020-04-03,-510843.95
27001,2020-04-03,-3248894.08
27003,2020-04-03,-634569.36
27004,2020-04-03,-143829.68
27005,2020-04-03,-523133.92
27006,2020-04-03,-808352.39
27007,2020-04-03,-1121776.49
27009,2020-04-03,-207983.85
27010,2020-04-03,-925419.59
27011,2020-04-03,-307585.03
27012,2020-04-03,-311653.55
27013,2020-04-03,-536806.46
27014,2020-04-03,-224148.86
27015,2020-04-03,-866791.11
27016,2020-04-03,-253244.83
27017,2020-04-03,-913654.0
27018,2020-04-03,-497701.68
27019,2020-04-03,-294240.43
27020,2020-04-03,-257082.98
27021,2020-04-03,-222150.48
27022,2020-04-03,-1163090.79
27023,2020-04-03,-128620.58
27024,2020-04-03,-702135.7
27025,2020-04-03,-474645.76
27026,2020-04-03,-418235.29
27028,2020-04-03,-407565.23
27029,2020-04-03,-242441.22
27030,2020-04-03,-100104.91
27031,2020-04-03,-262473.08
27032,2020-04-03,-422643.44
27033,2020-04-03,-667643.54
27035,2020-04-03,-481915.88
27036,2020-04-03,-320063.83
27037,2020-04-03,-604399.95
27038,2020-04-03,-484087.78
28101,2020-04-03,-262123.62
28102,2020-04-03,-263126.9
28103,2020-04-03,-831109.36
32001,2020-04-03,-2076943.55
32002,2020-04-03,-862296.76
33001,2020-04-03,-668117.2
33002,2020-04-03,-683089.56
33003,2020-04-03,-207875.97
33004,2020-04-03,-309015.89
33005,2020-04-03,-150603.91
33006,2020-04-03,-124373.77
33007,2020-04-03,-86848.11
